% Model:              hydro_005.mph
% Version:            COMSOL 5.4.0.225
% Date:               Apr 16 2025, 10:51
% Dimension:          3
% Nodes:              3184
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% x                       y                        z                        u2 (m/s) @ t=1           v2 (m/s) @ t=1           w2 (m/s) @ t=1           p2 (Pa) @ t=1
2.996540889099189E-4      0                        5.0E-4                   -5.3829893955649626E-11  -1.0021431911853278E-14  -2.0280972741418675E-9   0.10711542239737373
2.68498777025502E-4       7.914764130455051E-5     5.0E-4                   -1.2923783695894963E-11  2.771835218192624E-11    -2.093560096746995E-9    0.10711542786660304
4.070972950586481E-4      1.6252522171982632E-4    -5.0E-4                  2.552396365910974E-10    -2.6479395020364158E-11  -1.603440403487922E-9    0.10711467002475873
3.677407212814696E-4      2.5875493606105954E-4    -5.0E-4                  1.693223430741212E-10    2.616647654729023E-11    -1.5728344764635296E-9   0.10711468216049602
3.864487601633783E-4      2.2807852975141363E-4    -4.5013686478651184E-4   2.305151866897966E-10    1.6184161275630808E-11   -1.6894386323209476E-9   0.10711469012112883
4.2865238910096994E-4     6.333673962786098E-5     -5.0E-4                  3.1252407478797063E-10   -2.1437087185935805E-11  -1.6172944964664913E-9   0.10711465677334787
4.1091869835318737E-4     1.3061314172035506E-4    -4.3702781320922423E-4   3.0265257645797607E-10   -1.771696195639539E-11   -1.75094801028741E-9     0.10711468081420933
4.999999999999999E-4      9.999999999999996E-5     -4.999999999999999E-4    4.675305260987425E-10    -4.371312713537788E-11   -1.4211903380556216E-9   0.10711463430637544
3.149458660596683E-4      3.149458660596683E-4     -4.299566910382262E-4    1.1562811253193473E-10   1.1562811253193473E-10   -1.747567374442262E-9    0.10711470551006054
2.854495578392242E-4      2.854495578392242E-4     -5.0E-4                  5.724694246274282E-11    5.720259900360234E-11    -1.70151176052499E-9     0.10711467984927626
3.249536939312354E-4      2.2107635612947566E-4    -4.1300156941109946E-4   1.5467934631706003E-10   3.546580426105683E-11    -1.9097546052617043E-9   0.10711470519192458
4.290811811015985E-4      2.520956618270085E-4     -3.2454715213007455E-4   3.0209788475526063E-10   2.9063803891426773E-11   -1.8474650409563412E-9   0.10711473774222599
5.0E-4                    2.5649372467626485E-4    -2.5848373346804314E-4   3.7195816164789903E-10   -1.3944584313681276E-11  -1.8240553875631095E-9   0.1071147570757697
3.7100819253926316E-4     2.5859490765850045E-4    -3.9802595420269254E-4   2.133213529518278E-10    5.27160327278634E-11     -1.7990985306400924E-9   0.10711471263928195
3.3412538229458195E-4     3.3412538229458195E-4    -3.4631301564044256E-4   1.4286993929300466E-10   1.4286993929300466E-10   -1.874145239097993E-9    0.10711474140453783
4.3965936226234335E-4     4.3965936226234335E-4    -2.4918672234606993E-4   1.739510080512629E-10    1.739510080512629E-10    -1.8100250191025596E-9   0.10711478277407262
5.0E-4                    5.0E-4                   -1.9999999999999996E-4   1.716373606361444E-10    1.7163887924931644E-10   -1.7720258234759479E-9   0.10711480976747925
3.8192152148384034E-4     3.8192152148384034E-4    -2.9917136428369776E-4   1.6520035517553151E-10   1.6520035517553151E-10   -1.845214023463252E-9    0.10711475966286163
4.376943940482159E-4      3.159412563863483E-4     -2.3138110454664455E-4   2.379415616905451E-10    5.992028214000888E-11    -1.9651194829307916E-9   0.10711480199150224
5.0E-4                    3.3608594996465064E-4    -1.944719045230945E-4    2.6103432597086567E-10   2.998930634428355E-11    -1.905932441920956E-9    0.10711481812030857
5.0E-4                    2.548305067751437E-4     -1.5391524955965543E-4   2.6599179003982057E-10   -1.482852372676414E-11   -1.996286250557333E-9    0.10711484972373753
3.5816236220319705E-4     2.733704555260412E-4     -3.0227556861165154E-4   1.940537773893615E-10    7.70116936880906E-11     -2.0039720276489693E-9   0.10711476450026297
4.350904260787523E-4      2.4290933979666525E-4    -2.6531191885066624E-4   2.9584057031846773E-10   2.0018830580568212E-11   -1.957521664910666E-9    0.10711477293653898
4.423149941655374E-4      4.423149941655374E-4     1.4468761924797623E-4    -1.1493614059130404E-10  -1.1493614059130404E-10  -1.9833943736378493E-9   0.10711519124646439
5.0E-4                    5.0E-4                   1.0000000000000002E-4    -9.350649275649663E-11   -9.351113867197919E-11   -1.917053429919703E-9    0.10711515287554683
5.0E-4                    4.192579190073627E-4     5.3571799802736626E-5    -6.50142766297113E-11    -2.8358255955660396E-11  -2.0222096642159397E-9   0.1071150960982173
5.0E-4                    3.376516294172293E-4     -9.818555382693328E-5    1.4638314951980228E-10   1.4751032862118197E-11   -2.0353786079436003E-9   0.10711491722612966
4.386682079515963E-4      3.567111829339216E-4     -1.5032432366370163E-4   1.5578570904935653E-10   6.43252957528317E-11     -2.0607098627420977E-9   0.10711487275678834
5.0E-4                    4.190207170585277E-4     -1.4547602865741475E-4   1.6592114156109697E-10   7.464490290563821E-11    -1.931750724053352E-9    0.1071148679804346
4.3810531522555475E-4     4.3810531522555475E-4    -1.538562764126365E-4    1.2015389445959308E-10   1.2015389445959308E-10   -1.980146217988887E-9    0.107114865899499
5.0E-4                    5.0E-4                   -9.999999999999996E-5    9.349329923251334E-11    9.34913166398762E-11     -1.9175945750347536E-9   0.10711491301299034
4.392819846801198E-4      4.392819846801198E-4     -5.398157017123537E-5    4.50220464571194E-11     4.50220464571194E-11     -2.077638117108775E-9    0.10711497095456958
5.0E-4                    4.176703454051184E-4     -4.7587235473398996E-5   5.813498158535541E-11    2.4813770062177882E-11   -2.0262774514719226E-9   0.10711497673856993
5.0E-4                    5.0E-4                   8.470329472543003E-21    -4.1490851313085276E-15  -6.210994910301751E-15   -1.9697729926030888E-9   0.10711503189693267
4.4108184788049944E-4     3.5942856488823766E-4    -1.8567429045731657E-6   1.9120478443177996E-12   7.381716479624521E-13    -2.1605382861088705E-9   0.10711503003523376
5.0E-4                    3.366934340154764E-4     1.508125474583267E-6     -2.3423112523932365E-12  -5.702623646954265E-13   -2.0826212329299423E-9   0.10711503360264961
4.4181169501245125E-4     4.4181169501245125E-4    4.730666494596106E-5     -3.974575450706995E-11   -3.974575450706995E-11   -2.0754190750907826E-9   0.1071150864426843
5.0E-4                    8.984970713212044E-5     3.4893718204974E-4       -5.076278224015762E-10   3.25202202131103E-11     -1.69555088443728E-9     0.1071153877448765
4.425008037937373E-4      1.222925408354943E-4     3.14853901793265E-4      -3.8267557786864525E-10  1.60561719332447E-11     -1.9074775542782656E-9   0.10711533857440353
4.2184869060583955E-4     0                        4.343805594047924E-4     -3.4059281425519757E-10  0                        -1.7722527607293901E-9   0.10711539323312631
4.5116511339415166E-4     7.434870865235652E-5     3.9171743642929356E-4    -4.1082147751585343E-10  1.851550199455545E-11    -1.75919168081192E-9     0.10711538386599867
5.0E-4                    0                        3.999999999999999E-4     -5.189108056578803E-10   -1.221934889660477E-14   -1.6176984197753978E-9   0.1071154104218064
2.6975998509714074E-4     1.3674406487252408E-4    4.48724457417114E-4      -6.911505275709793E-11   9.584068736888945E-12    -2.0890945774900317E-9   0.10711539008513606
2.257565517777606E-4      1.398329665756101E-4     5.0E-4                   2.458735713407854E-11    4.047737291072162E-11    -2.141404549010653E-9    0.10711543081453699
2.1393274378563116E-4     2.1393274378563116E-4    5.000000000000001E-4     1.6444519055696618E-11   1.6473020905810302E-11   -2.018603574371073E-9    0.1071154152928998
3.437272035902718E-4      0                        4.2885075483363103E-4    -1.9356395594339452E-10  0                        -1.996874284286723E-9    0.10711538303208334
3.3887519507615655E-4     7.201004204013449E-5     3.763148637143072E-4     -2.1102815900878833E-10  2.140880227804987E-12    -2.0774547534153952E-9   0.10711535130730486
2.2459070979284333E-4     7.092833363202009E-5     4.5283213853825494E-4    -1.4023877579574132E-11  1.5616480852526745E-11   -2.272149178719596E-9    0.10711540897966242
2.7542016336400984E-4     6.682758158471905E-5     4.0566427707650976E-4    -1.0572445370159158E-10  3.6051353520887715E-12   -2.1934229052859527E-9   0.10711536967786801
2.5043481088843236E-4     2.5043481088843236E-4    4.122863497741955E-4     -6.828750533839808E-11   -6.828750533839808E-11   -2.0106866433704766E-9   0.10711535798216733
4.302229820730343E-4      2.2871361467089753E-4    3.234313327757798E-4     -3.1605630846252663E-10  -1.5800845338054072E-11  -1.8645737492445006E-9   0.10711532931052402
5.0E-4                    1.5826925045357173E-4    2.736950976197339E-4     -4.502313089246502E-10   4.0017073579558815E-11   -1.8184306295485993E-9   0.10711533132442487
5.0E-4                    2.4783144836310875E-4    2.5599294887934275E-4    -3.7668881552452873E-10  1.7716662217010178E-11   -1.8310837601977624E-9   0.10711530747550936
3.587054465746112E-4      1.4961396626144658E-4    -4.4037989839895947E-4   2.0332680300712126E-10   -8.007683945747643E-12   -1.861202622402734E-9    0.10711468630554015
3.440341549667596E-4      7.202508811943435E-5     -5.0E-4                  1.3474296977704498E-10   -2.1973009045294602E-11  -1.8601945045315129E-9   0.10711465560844452
4.220885961485896E-4      6.530657086017752E-5     -4.319170032596037E-4    3.382084187784E-10       -1.5058320352584402E-11  -1.7651526826689578E-9   0.1071146745657486
5.0E-4                    0                        -5.0E-4                  4.816237574909407E-10    -1.0487279966355345E-14  -1.4447888437898598E-9   0.10711463137426906
3.9982704445495974E-4     0                        -4.999999999999999E-4    2.4990603487159726E-10   1.3689613304882951E-14   -1.7128135028690502E-9   0.10711465339604823
5.0E-4                    6.636630951916496E-5     -4.235436936819453E-4    5.048513268682755E-10    -2.8045995606097518E-11  -1.5729751013137785E-9   0.10711465138821706
4.332584939439919E-4      0                        -4.2680619330998326E-4   3.68334560860232E-10     0                        -1.7539407749647146E-9   0.10711467258445127
4.5257839952264357E-4     1.7911724836657225E-4    -3.5080034047611986E-4   3.801333178540475E-10    -1.4704418178450933E-11  -1.7898124084849327E-9   0.1071147098676263
